ID,alcohol_use_ok,birthdate,desired_host_type,education,employment,gender,guest_in_relationship,guest_is_parent,indoor_smoking_ok,language,mail,name,number_of_guests,pets,pets_not_ok,phone,substance_use_ok
150,1,1997-09-13,respite,Range work common.,"Engineer, aeronautical",female,0,0,1,"['English', 21]",Cathy.Morales@gmail.com,Cathy Morales,1,[],"['reptile', 'dog']",(692)284-6297x76133,1
151,1,1994-12-23,full,Speak main hold street information hundred.,Glass blower/designer,male,0,0,1,['English'],Madison.Richardson@gmail.com,Madison Richardson,1,[],[],814-604-9535x4876,1
152,0,1995-06-15,full,Politics pull discussion window both either.,Tax adviser,female,0,0,0,['English'],Edward.Mills@gmail.com,Edward Mills,1,"['fish', 'other', 'reptile']",[],001-703-894-7194,1
153,1,2001-01-14,full,Street board will.,"Therapist, occupational",male,1,0,0,['English'],Philip.George@gmail.com,Philip George,1,[],[],(131)302-6195x831,1
154,1,1996-12-11,full,Chair during agreement.,International aid/development worker,male,0,0,1,[28],Pamela.Smith@gmail.com,Pamela Smith,1,[],[],(941)289-2093,1
155,1,2001-01-12,full,Item follow writer conference difficult ready morning.,"Investment banker, operational",female,0,0,0,['English'],Christine.Webb@gmail.com,Christine Webb,1,[],[],222.830.3571x837,1
156,1,1994-09-11,full,Truth simply tell film pass tend.,Archaeologist,male,1,1,0,['English'],Gregg.Rhodes@gmail.com,Gregg Rhodes,1,[],[],+1-992-129-3594x9731,1
157,1,1999-03-02,full,In kind sell Republican town.,Art therapist,female,0,1,0,"['English', 7]",Adam.Crawford@gmail.com,Adam Crawford,2,[],[],8015780616,1
158,1,1998-12-03,full,Newspaper alone whatever control.,Cytogeneticist,male,0,0,0,[30],Jeffrey.Jackson@gmail.com,Jeffrey Jackson,1,[],[],+1-910-468-8547x36803,1
159,1,1999-04-24,respite,Civil religious family its word oil.,"Doctor, general practice",male,1,0,0,"['English', 4]",Kelly.Taylor@gmail.com,Kelly Taylor,2,[],[],298.637.9268,1
160,1,1999-01-24,full,Form financial clear draw officer color mission evening.,Osteopath,female,0,0,0,['English'],Derek.Foster@gmail.com,Derek Foster,3,[],[],(098)652-9898x251,1
161,1,1998-04-09,full,Brother over test positive message check.,Systems developer,male,0,0,0,"['English', 0]",Aaron.Stevens@gmail.com,Aaron Stevens,1,[],"['dog', 'cat']",001-879-679-8845x1685,1
162,1,1999-10-08,full,Section medical citizen example senior father heart.,Fitness centre manager,male,0,1,0,"['English', 29]",Patricia.Garcia@gmail.com,Patricia Garcia,1,[],[],564-832-0336x45386,1
163,1,2001-01-25,respite,Real walk participant night data.,Rural practice surveyor,male,0,1,0,"['English', 5]",Kathy.Pittman@gmail.com,Kathy Pittman,1,[],[],001-343-504-8184x33173,1
164,1,1995-08-01,full,Sing not little use woman water audience.,Electronics engineer,female,0,0,0,['English'],Jason.Hamilton@gmail.com,Jason Hamilton,1,[],[],817.139.9566,1
165,1,2000-05-10,full,Because than month cost floor remember kid song.,"Therapist, music",male,1,1,1,"['English', 4]",Donald.Colon@gmail.com,Donald Colon,1,[],[],1679779109,1
166,1,1997-08-19,full,Again it list list choice future.,Banker,female,0,0,0,"['English', 24]",Deborah.Harper@gmail.com,Deborah Harper,2,['reptile'],[],686.953.8345,1
167,1,1999-09-23,respite,Name mention success peace who race agreement.,Biomedical engineer,female,0,0,1,"['English', 11]",Nicole.Matthews@gmail.com,Nicole Matthews,1,['dog'],[],001-530-253-9829x7298,0
168,1,2000-08-10,full,Lawyer marriage must direction issue develop.,Magazine journalist,nonbinary,0,0,1,"['English', 0]",Melissa.Garza@gmail.com,Melissa Garza,1,[],[],320-875-8287x43837,1
169,0,1996-06-20,full,Language court person add oil suddenly.,"Designer, exhibition/display",male,0,0,1,"['English', 24]",Jose.Roberts@gmail.com,Jose Roberts,1,[],['reptile'],+1-704-879-2173x66561,1
170,0,1998-05-04,respite,Avoid plant country baby.,"Engineer, building services",male,1,0,1,[33],Eric.Cox@gmail.com,Eric Cox,1,[],[],001-461-356-3677,1
171,0,2000-10-14,full,Important new story task worker tell.,Higher education lecturer,female,1,0,0,"['English', 36]",Jeanette.Cowan@gmail.com,Jeanette Cowan,1,[],[],721-009-1592x9548,1
172,1,1994-03-23,full,With film address above design impact.,Technical brewer,nonbinary,0,0,0,"['English', 10]",Katherine.Monroe@gmail.com,Katherine Monroe,1,[],[],+1-649-169-1082x0987,1
173,1,1999-04-02,full,Run speak early notice management each even.,Retail banker,male,0,0,0,[7],Tyler.Martinez@gmail.com,Tyler Martinez,1,[],[],+1-917-767-4304,1
174,1,1996-09-24,full,Learn must knowledge four whatever special affect similar.,"Physicist, medical",male,0,0,0,[32],Mark.Wright@gmail.com,Mark Wright,1,[],[],001-548-988-9047x71132,1
175,1,2001-08-06,full,Arrive trouble which receive safe prepare.,Firefighter,female,0,1,0,"['English', 9, 25]",Brooke.Jordan@gmail.com,Brooke Jordan,1,[],[],001-903-916-2580x4802,1
176,0,2001-07-29,full,Star company level economic south hotel.,"Biochemist, clinical",female,0,0,0,['English'],Stephanie.Jordan@gmail.com,Stephanie Jordan,1,[],[],974-215-1943x8745,0
177,1,1996-03-20,full,Production must risk option claim.,"Accountant, chartered",female,0,0,0,"['English', 23]",Matthew.Kline@gmail.com,Matthew Kline,3,[],[],+1-787-206-0640,0
178,0,2000-02-23,respite,Her summer sell about man reflect.,Water engineer,transgender,0,1,0,['English'],Katelyn.Campos@gmail.com,Katelyn Campos,1,"['cat', 'bird', 'dog']",['dog'],618.920.4626x9546,1
179,1,1997-09-22,full,Time everybody writer nor brother issue environmental hold.,Data processing manager,male,1,0,0,['English'],Shawna.Newton@gmail.com,Shawna Newton,1,[],[],685-736-7711,1
180,0,1996-06-02,full,Particularly strong media represent.,Chief Executive Officer,female,0,0,0,['English'],Julian.Jackson@gmail.com,Julian Jackson,1,['cat'],[],128.295.3217,1
181,0,2001-01-01,full,Anyone probably country employee property society.,Illustrator,male,0,1,0,[27],Kaitlyn.Wilson@gmail.com,Kaitlyn Wilson,1,[],[],001-254-946-1697x21611,1
182,0,1997-02-16,full,Decade always check notice pressure.,Housing manager/officer,male,0,0,1,"['English', 20]",Stephen.Ross@gmail.com,Stephen Ross,1,"['bird', 'other', 'dog', 'reptile']",[],395-098-7488,0
183,1,1996-09-05,full,Force nearly wish dream network about some.,Claims inspector/assessor,male,1,0,1,['English'],Kristine.Cline@gmail.com,Kristine Cline,1,[],[],(491)698-1070,1
184,1,1994-05-09,respite,Manager forward idea election ten.,Geochemist,male,0,1,0,['English'],Robert.Garcia@gmail.com,Robert Garcia,1,[],[],(783)868-4062,0
185,0,1997-08-27,full,Resource remain fear.,Software engineer,male,0,0,0,['English'],Denise.Hester@gmail.com,Denise Hester,1,[],[],429-877-0294x2843,1
186,1,1996-06-01,respite,None this of else yard.,"Psychologist, occupational",female,0,0,1,[19],Heather.Hartman@gmail.com,Heather Hartman,1,[],[],945-570-7405x33651,1
187,1,1996-11-26,full,Follow close street police watch job speak forward.,"Pilot, airline",female,0,0,0,['English'],Donna.Williams@gmail.com,Donna Williams,2,['fish'],[],001-219-137-5396,1
188,1,1999-08-06,full,Green interest event return.,Private music teacher,male,0,0,0,[11],Anthony.Ayala@gmail.com,Anthony Ayala,1,"['cat', 'bird']",[],(439)318-1339,1
189,1,1997-05-09,full,Account hour catch tonight need couple low.,Health promotion specialist,male,0,0,0,['English'],Adam.Price@gmail.com,Adam Price,1,[],[],+1-350-341-2057x5130,1
190,1,1996-02-03,full,East garden fire detail keep letter.,"Engineer, civil (contracting)",female,1,0,0,['English'],Luis.Scott@gmail.com,Luis Scott,1,[],['dog'],129.981.9102x056,1
191,1,2000-07-21,full,Offer window American ball.,Technical sales engineer,male,0,0,1,['English'],Jessica.Hernandez@gmail.com,Jessica Hernandez,2,[],[],(578)957-5510,0
192,1,1997-10-09,full,No wait might company say investment.,Lexicographer,female,0,0,0,"['English', 15]",Jacob.Roy@gmail.com,Jacob Roy,1,[],['reptile'],892.268.5242x719,0
193,1,1998-03-22,full,Sign family share land big democratic pick.,"Engineer, agricultural",female,0,0,0,"['English', 35]",Troy.Conrad@gmail.com,Troy Conrad,1,"['fish', 'bird', 'other']","['dog', 'cat']",001-403-385-4469x23109,1
194,0,2000-01-17,full,North American south those.,Medical physicist,male,0,0,0,[19],Arthur.Scott@gmail.com,Arthur Scott,1,[],[],015-454-3642,1
195,1,1997-05-31,respite,Grow significant end.,Learning disability nurse,female,1,0,1,"['English', 0]",Thomas.Wright@gmail.com,Thomas Wright,2,"['bird', 'other']",[],483-673-2423x786,1
196,1,2000-10-26,full,Send will book director also great rule police.,Systems analyst,male,1,0,0,"['English', 10]",Scott.Jones@gmail.com,Scott Jones,1,[],[],123.728.8744x301,0
197,1,1997-05-06,respite,Campaign try between son discussion her Democrat sure.,Print production planner,female,0,1,0,"['English', 4]",Brianna.Hunter@gmail.com,Brianna Hunter,1,[],['dog'],4238207391,1
198,1,1998-06-12,full,Here pick share ground himself.,Commercial/residential surveyor,female,0,1,1,['English'],Brandon.Lee@gmail.com,Brandon Lee,1,['bird'],[],001-007-667-4102x560,1
199,0,1994-01-21,full,Find interest remain.,"Engineer, mining",male,0,0,0,['English'],Angela.Carter@gmail.com,Angela Carter,2,[],[],418-861-1346x083,1
